symbol,company_name,sector,listed_date
MSN,Công ty Cổ phần Tập đoàn Masan,Food & Beverage,2009-11-05T00:00:00
MTP,Công ty Cổ phần Dược Medipharco,Health Care,2010-09-23T00:00:00
NAB,Ngân hàng Thương mại Cổ phần Nam Á,Banks,2020-10-09T00:00:00
NAF,Công ty Cổ phần Nafoods Group,Food & Beverage,2015-10-07T00:00:00
NAG,Công ty Cổ phần Tập đoàn Nagakawa,Industrial Goods & Services,2009-09-22T00:00:00
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Việt Nam,Industrial Goods & Services,2017-01-25T00:00:00
ND2,Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2,Utilities,2010-07-22T00:00:00
NDC,Công ty Cổ phần Nam Dược,Health Care,2010-03-11T00:00:00
NDP,Công ty Cổ phần Dược phẩm 2/9,Health Care,2013-04-09T00:00:00
NDT,Tổng Công ty Cổ phần Dệt may Nam Định,Personal & Household Goods,2018-09-11T00:00:00
NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Construction & Materials,2013-07-17T00:00:00
NFC,Công ty Cổ phần Phân lân Ninh Bình,Chemicals,2014-03-03T00:00:00
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Construction & Materials,2010-07-13T00:00:00
NHH,Công ty Cổ phần Nhựa Hà Nội,Chemicals,2017-09-08T00:00:00
NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Personal & Household Goods,2017-12-01T00:00:00
NJC,Công ty Cổ phần May Nam Định,Personal & Household Goods,2020-12-23T00:00:00
NLG,Công ty Cổ phần Đầu tư Nam Long,Real Estate,2013-04-08T00:00:00
NNT,Công ty Cổ phần Cấp nước Ninh Thuận,Utilities,2012-06-22T00:00:00
NSC,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,Food & Beverage,2006-12-21T00:00:00
NSG,Công ty Cổ phần Nhựa Sài Gòn,Chemicals,2016-05-19T00:00:00
NTF,Công ty Cổ phần Dược - Vật tư y tế Nghệ An,Health Care,2019-07-04T00:00:00
NTH,Công ty Cổ phần Thủy điện Nước Trong,Utilities,2019-06-19T00:00:00
NUE,Công ty Cổ phần Môi trường Đô thị Nha Trang,Industrial Goods & Services,2017-02-20T00:00:00
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Real Estate,2016-12-28T00:00:00
OIL,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,Oil & Gas,2018-03-07T00:00:00
ONE,Công ty Cổ phần Công nghệ ONE,Technology,2008-06-24T00:00:00
ONW,Công ty Cổ phần Tập đoàn ONW,Travel & Leisure,2017-02-17T00:00:00
PAP,Công ty Cổ phần Dầu khí đầu tư khai thác Cảng Phước An,Industrial Goods & Services,2021-07-14T00:00:00
PBC,Công ty Cổ phần Dược Phẩm Trung ương 1 - Pharbaco,Health Care,2019-11-26T00:00:00
