trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-06-26,"CTI,DGW",2,-0.02649733806566107,0.011188357860505604,0.3628714382648468,0.004,-0.03049733806566107,5.375066922853388,2.6772433716825765,0.2672357686446505
2025-06-27,CTI,1,0.030674846625766916,0.014983787441627197,0.363919734954834,0.004,0.026674846625766916,5.570621122940915,2.7753332746278274,0.2862237600404489
2025-06-30,"ANV,CTI,DCL,MPC",4,0.03365086361909528,0.01797702736771594,0.39149272441864014,0.004,0.029650863619095278,5.791728198241747,2.8872751666704497,0.30934623977570275
2025-07-01,"ANV,DCL,OIL,CTI",4,0.017793687874309017,0.025838124764528497,0.39436548948287964,0.004,0.013793687874309016,5.912578089928403,2.9408950270010545,0.34317729127899366
2025-07-02,"ANV,DGW,DCL",3,-0.011577665888707048,0.020538159548514987,0.3736934959888458,0.004,-0.015577665888707048,5.832546570373616,2.879505080967965,0.37076368078922384
2025-07-03,DCL,1,-0.004347826086956608,0.025213895607997583,0.37786805629730225,0.004,-0.008347826086956608,5.802839846154599,2.8471196472485802,0.4053259731398777
2025-07-04,CTI,1,-0.031746031746031744,0.021253271760164765,0.36294645071029663,0.004,-0.03574603174603175,5.586876676435406,2.70960038620725,0.43519374795863763
2025-07-07,"DGW,CTI",2,-0.019448793815866783,0.01788486973668487,0.3652014434337616,0.004,-0.023448793815866783,5.458769870064872,2.622614731611817,0.4608620011877824
2025-07-08,"ANV,MPC",2,-0.04425019979449707,0.0116793621349213,0.37007778882980347,0.004,-0.04825019979449707,5.172968012887823,2.4478228470330583,0.47792393752880047
2025-07-09,MPC,1,-0.020968908170643563,0.016730091696128126,0.3667159676551819,0.004,-0.024968908170643563,5.043527613485258,2.361734474976843,0.5026497405235602
2025-07-10,NHH,1,0.004424778761061843,0.022374912285101637,0.3681826591491699,0.004,0.0004247787610618427,5.070268886111299,2.3631624683821424,0.5362713966630055
2025-07-11,VCI,1,0.016129032258064502,0.023632125877459813,0.3780251741409302,0.004,0.012129032258064502,5.168176448790513,2.403954374450261,0.5725767556908867
2025-07-14,"ANV,CSM",2,-0.0009292803502019553,0.014227287773039098,0.36096304655075073,0.004,-0.004929280350201955,5.162444483620074,2.3871753290393,0.5949502577392933
2025-07-15,"GEE,ANV",2,0.11123821881576745,0.025404233550428323,0.37684452533721924,0.004,0.10723821881576745,5.847943831529022,2.7504099781421854,0.6354687465882183
2025-07-16,"GEE,ANV,SHS,FCN",4,0.044442095180491026,0.02819136773666811,0.400601327419281,0.004,0.04044209518049102,6.152280803080492,2.9020844154440755,0.6815748474451144
