time,open,high,low,close,volume,symbol
2024-10-09 07:00:00,16.2,16.2,16.2,16.2,300.0,ATS
2024-12-20 07:00:00,14.9,14.9,14.9,14.9,,ATS
2025-06-05 07:00:00,16.9,,16.9,,300.0,ATS
2025-06-13 07:00:00,,,,,100.0,ATS
2018-01-10 07:00:00,15.67,15.67,15.67,15.67,1500.0,AVC
2018-03-05 07:00:00,15.67,,15.67,15.67,1100.0,AVC
2018-03-27 07:00:00,14.89,14.89,14.1,14.1,4900.0,AVC
2018-09-24 07:00:00,,15.24,15.24,15.24,100.0,AVC
2018-12-05 07:00:00,16.32,16.32,16.32,16.32,,AVC
2021-08-09 07:00:00,18.21,18.21,18.21,18.21,2100.0,AVC
2021-08-24 07:00:00,,,19.2,19.73,5600.0,AVC
2021-11-16 07:00:00,,23.17,23.17,,,AVC
2023-04-06 07:00:00,,,,28.07,100.0,AVC
2023-06-21 07:00:00,,,33.44,33.44,100.0,AVC
2023-07-14 07:00:00,36.38,39.03,,36.38,300.0,AVC
2023-07-21 07:00:00,37.89,37.89,37.89,,100.0,AVC
2023-09-14 07:00:00,42.33,,,43.68,400.0,AVC
2024-03-01 07:00:00,53.4,53.49,,53.4,,AVC
2024-07-12 07:00:00,54.23,54.23,53.58,,1102.0,AVC
2024-08-30 07:00:00,50.81,50.81,50.81,50.81,700.0,AVC
2024-09-20 07:00:00,49.06,49.06,47.12,47.12,,AVC
2024-10-04 07:00:00,49.15,50.07,,49.98,1300.0,AVC
2024-11-01 07:00:00,,,52.89,,,AVC
2025-03-31 07:00:00,55.3,55.3,54.44,54.44,200.0,AVC
2025-06-05 07:00:00,,53.76,51.94,53.76,1200.0,AVC
2025-07-02 07:00:00,,,,52.9,,AVC
2025-10-24 07:00:00,50.98,50.98,50.98,,,AVC
2025-02-17 07:00:00,,,21.0,21.4,89062.0,AVG
2018-11-05 07:00:00,,11.13,,,,BAB
2019-03-06 07:00:00,11.24,11.24,11.24,11.24,5200.0,BAB
2019-04-11 07:00:00,11.29,11.29,11.29,,6100.0,BAB
2019-09-25 07:00:00,11.4,,11.4,11.4,3800.0,BAB
2020-04-01 07:00:00,11.27,,11.27,11.27,3100.0,BAB
2020-07-22 07:00:00,11.72,,11.72,11.72,2600.0,BAB
2021-02-01 07:00:00,14.86,,14.86,14.86,2100.0,BAB
2021-09-30 07:00:00,16.32,16.62,16.25,,,BAB
2021-12-10 07:00:00,,17.07,,,29915.0,BAB
2022-08-02 07:00:00,,13.66,13.5,13.66,7626.0,BAB
2022-08-19 07:00:00,13.98,13.98,13.82,13.9,10800.0,BAB
2023-04-19 07:00:00,10.85,10.93,10.85,10.93,,BAB
2023-09-18 07:00:00,,,11.09,11.17,,BAB
2023-10-13 07:00:00,10.85,,10.6,,10615.0,BAB
2024-07-19 07:00:00,,10.6,10.43,,,BAB
